day,symbol,timestamp,side,pred,gross_fwd_pct,fee_pct,net_fwd_pct,fold,bar,open,high,low,close,atrpct,entry,exit,qty,gross,mandatory,slippage,net,net_no_slip,reason,mfe,mae,hold_bars,notional,stop_pct,target_pct,portfolio_qty,portfolio_gross,portfolio_mandatory,portfolio_slippage,portfolio_net,portfolio_net_no_slip
2026-08-10,POWERINDIA,2026-08-10 11:20:00+05:30,1,0.1132149289821494,0.4607008236772429,0.1065766962725115,0.3541241274047314,1,25,35820.0,35855.0,35800.0,35815.0,0.3609820306735007,36035.0,35878.90415029616,1,-156.0958497038373,38.19830960542485,35.95695207514808,-230.25111138441025,-194.29415930926217,stop_loss,0.01387539891772871,0.48563896212016067,4,36035.0,0.43317843680820084,0.6930854988931214,1,-156.0958497038373,38.19830960542485,35.95695207514808,-230.25111138441025,-194.29415930926217
2026-08-10,MAHABANK,2026-08-10 11:20:00+05:30,-1,-0.0801536008802364,0.2541942043721548,0.1064442416878495,0.1477499626843052,1,25,78.73,78.78,78.66,78.68,0.15251652262328738,78.5,78.5,636,0.0,53.061951912,49.926,-102.987951912,-53.061951912,time_stop,0.14012738853502738,0.15286624203822985,13,49926.0,0.35,0.5599999999999999,636,0.0,53.061951912,49.926,-102.987951912,-53.061951912
2026-08-10,COALINDIA,2026-08-10 11:20:00+05:30,-1,-0.0816573704221734,0.2179968511565988,0.1064210244883129,0.1115758266682858,1,25,412.65,412.95,412.3,412.85,0.1254346961020077,412.0,412.6,121,-72.60000000000275,53.0298698996,49.8883,-175.51816989960275,-125.62986989960275,time_stop,0.04854368932039055,0.15776699029126373,13,49852.0,0.35,0.5599999999999999,121,-72.60000000000275,53.0298698996,49.8883,-175.51816989960275,-125.62986989960275
2026-08-10,HINDPETRO,2026-08-10 11:20:00+05:30,-1,-0.0824869283163799,0.2904040404040415,0.1064674668939393,0.1839365735101021,1,25,394.55,396.3,394.5,396.0,0.17316017316017562,394.85,392.63884,126,278.60616000000084,52.69736643053905,49.61179692000001,176.2969966494618,225.9087935694618,target,0.5951627200202703,0.0,8,49751.100000000006,0.35,0.5599999999999999,126,278.60616000000084,52.69736643053905,49.61179692000001,176.2969966494618,225.9087935694618
2026-08-10,POWERINDIA,2026-08-10 11:40:00+05:30,1,0.0968791423112171,-0.0139275766016737,0.1062722667688022,-0.120199843370476,1,29,35920.0,35940.0,35880.0,35900.0,0.2845204934341425,35870.0,36070.872,1,200.87200000000303,38.251906946031994,35.970436,126.64965705397103,162.62009305397103,target,0.7387789238918252,0.08363534987454457,6,35870.0,0.35,0.5599999999999999,1,200.87200000000303,38.251906946031994,35.970436,126.64965705397103,162.62009305397103
2026-08-11,LTF,2026-08-11 11:20:00+05:30,-1,-0.0813396538494109,-0.3827140806888849,0.1060357248923616,-0.4887498055812465,1,25,313.45,313.55,313.3,313.55,0.17313256031163912,314.8,315.5,158,-110.5999999999982,52.933507884399994,49.7937,-213.3272078843982,-163.5335078843982,time_stop,0.1905972045743387,0.2541296060991183,13,49738.4,0.35,0.5599999999999999,158,-110.5999999999982,52.933507884399994,49.7937,-213.3272078843982,-163.5335078843982
2026-08-11,GRASIM,2026-08-11 11:20:00+05:30,-1,-0.0830312569168663,-0.2869697784952052,0.1060971358622545,-0.3930669143574597,1,25,3340.6,3346.2,3338.1,3345.3,0.18832391713747898,3350.7,3331.9360799999995,14,262.69488000000456,49.68780428539871,46.77845255999999,166.22862315460583,213.00707571460583,target,0.7073148894260806,0.044766765153547716,9,46909.799999999996,0.35,0.5599999999999999,14,262.69488000000456,49.68780428539871,46.77845255999999,166.22862315460583,213.00707571460583
2026-08-11,HONAUT,2026-08-11 11:20:00+05:30,-1,-0.0942673079867929,0.1584576785949991,0.1063828357057968,0.0520748428892022,1,25,37825.0,37865.0,37825.0,37865.0,0.08205844070098658,37800.0,37830.0,1,-30.0,40.19353578,37.815,-108.00853577999999,-70.19353577999999,time_stop,0.10582010582010914,0.22486772486771667,13,37800.0,0.35,0.5599999999999999,1,-30.0,40.19353578,37.815,-108.00853577999999,-70.19353577999999
2026-08-11,OBEROIRLTY,2026-08-11 11:20:00+05:30,-1,-0.0948347936916714,-0.2061625898478922,0.106148966077896,-0.3123115559257883,1,25,1798.1,1798.6,1794.0,1794.7,0.20894857079177667,1797.3,1793.5,27,102.59999999999877,51.50937594959999,48.47580000000001,2.6148240503987736,51.09062405039878,time_stop,0.2893228731986941,0.12240583096867486,13,48527.1,0.35,0.5599999999999999,27,102.59999999999877,51.50937594959999,48.47580000000001,2.6148240503987736,51.09062405039878
2026-08-11,APARINDS,2026-08-11 12:05:00+05:30,1,0.1033994321019257,0.2969696969697111,0.1064716781454545,0.1904980188242565,1,34,16825.0,16825.0,16488.0,16500.0,0.32597402597402597,16547.0,16650.562730389607,3,310.6881911688215,52.95832776194482,49.796344095584416,207.9335193112923,257.7298634068767,target,0.9004653411494479,0.28403940291291674,6,49641.0,0.39116883116883117,0.6258701298701299,3,310.6881911688215,52.95832776194482,49.796344095584416,207.9335193112923,257.7298634068767
2026-08-12,TCS,2026-08-12 11:20:00+05:30,1,0.0921542312526697,-0.835999146939642,0.105744985131158,-0.9417441320708,1,25,2347.4,2350.0,2344.3,2344.5,0.5904396307467358,2317.6,2322.0,21,92.40000000000191,51.785900829599996,48.7158,-8.101700829598087,40.614099170401914,time_stop,0.8198136002761425,0.04314808422506422,13,48669.6,0.7085275568960829,1.1336440910337326,21,92.40000000000191,51.785900829599996,48.7158,-8.101700829598087,40.614099170401914
2026-08-12,IDEA,2026-08-12 11:20:00+05:30,1,0.0831090221379992,-0.0753012048192829,0.1062329013554216,-0.1815341061747046,1,25,13.41,13.41,13.27,13.28,0.4679432013769349,13.25,13.175597030981068,3773,-280.72240210842983,52.95230617395323,49.85188879894579,-383.5265970813288,-333.67470828238305,stop_loss,0.45283018867925406,0.67924528301887,9,49992.25,0.5615318416523218,0.8984509466437149,3773,-280.72240210842983,52.95230617395323,49.85188879894579,-383.5265970813288,-333.67470828238305
2026-08-12,M_AND_M,2026-08-12 11:20:00+05:30,-1,-0.0815690505894844,0.1023810916749567,0.1063468678464868,-0.00396577617153,1,25,3420.7,3422.4,3418.0,3418.6,0.1608845726320726,3415.9,3412.6,14,46.20000000000255,50.79680019399999,47.7995,-52.39630019399745,-4.596800193997446,time_stop,0.14344682221376637,0.27811118592464545,13,47822.6,0.35,0.5599999999999999,14,46.20000000000255,50.79680019399999,47.7995,-52.39630019399745,-4.596800193997446
