day,symbol,bar,side,pred,atr,actual,fee_pct,net_fwd_pct,fold
2026-09-11,360ONE,8,1,0.036247684293803144,0.4827301800251007,0.38371086,0.1062812,0.22742966120605468,6
2026-09-11,360ONE,17,1,0.03877883011828661,0.3192167580127716,0.65960884,0.1062812,0.5033276409423828,6
2026-09-11,360ONE,20,1,0.031588547901836024,0.3344169557094574,1.1583447,0.1062812,1.0020635456359863,6
2026-09-11,360ONE,28,1,0.10313310540738692,0.31360334157943726,0.0,0.10628119999999998,-0.15628119999999998,6
2026-09-11,360ONE,29,1,0.10025008738371248,0.3163488507270813,-0.018459558,0.1062812,-0.17474075848693849,6
2026-09-11,360ONE,33,1,0.04001053203632164,0.25319474935531616,0.29546022,0.1062812,0.13917902415161132,6
2026-09-11,360ONE,35,-1,-0.031856022051326295,0.22109080851078033,-0.6929636,0.10628119999999998,-0.8492448001586914,6
2026-09-11,360ONE,36,-1,-0.027253430777651494,0.21818870306015015,-0.7472992,0.1062812,-0.9035803943359375,6
2026-09-11,360ONE,37,-1,-0.02743298621130554,0.18500781059265137,-0.70039034,0.1062812,-0.8566715388977051,6
2026-09-11,360ONE,44,1,0.11568387314520193,0.17126774787902832,0.05491972,0.10628119999999998,-0.10136148030395506,6
2026-09-11,360ONE,50,-1,-0.05854732218238818,0.18559840321540833,-0.32936335,0.1062812,-0.4856445460998535,6
2026-09-11,360ONE,51,-1,-0.10593885745747413,0.17966733872890472,-0.16466379,0.1062812,-0.32094499165649415,6
2026-09-11,360ONE,52,-1,-0.06091388654949573,0.1789970099925995,-0.27434826,0.1062812,-0.430629458972168,6
2026-09-11,360ONE,53,-1,-0.0855819161275914,0.1895185112953186,-0.3476739,0.1062812,-0.5039550929748535,6
2026-09-11,360ONE,54,-1,-0.0317716946283967,0.19690991938114166,-0.20993948,0.1062812,-0.36622067982788087,6
2026-09-11,360ONE,58,1,0.04009567712591003,0.20026220381259918,0.25572777,0.1062812,0.09944656794433591,6
2026-09-11,360ONE,60,1,0.045599895536471965,0.19146782159805298,-0.072944164,0.10628119999999998,-0.229225364276123,6
2026-09-11,360ONE,61,1,0.049957187349712516,0.1899743378162384,-0.31875968,0.1062812,-0.47504087979431153,6
2026-09-11,360ONE,62,1,0.05008601673177625,0.1914321333169937,-0.30085444,0.10628120000000002,-0.4571356445037842,6
2026-09-11,360ONE,63,1,0.05643226898472925,0.1962222456932068,-0.2646625,0.1062812,-0.420943704196167,6
2026-09-11,360ONE,64,1,0.0492466468797726,0.20136423408985138,-0.3373742,0.1062812,-0.493655410357666,6
2026-09-11,3MINDIA,15,-1,-0.02822462049643626,0.21999911963939667,-0.07661581,0.1062812,-0.23289701039428712,6
2026-09-11,3MINDIA,17,1,0.05004283920469253,0.20886187255382538,0.04593134,0.1062812,-0.110349860736084,6
2026-09-11,3MINDIA,21,-1,-0.03594243385983668,0.18264541029930115,-0.18373728,0.1062812,-0.34001847798461915,6
2026-09-11,3MINDIA,25,1,0.05343381658197174,0.13540960848331451,-0.091689825,0.10628119999999998,-0.24797102505798335,6
2026-09-11,3MINDIA,26,-1,-0.0473277210551472,0.1178293228149414,0.045788288,0.10628119999999998,-0.1104929118835449,6
2026-09-11,3MINDIA,28,1,0.10313361615719667,0.10261784493923187,-0.18342733,0.10628119999999998,-0.33970853383178706,6
2026-09-11,3MINDIA,29,1,0.11156331747703395,0.09062322229146957,-0.2599001,0.10628119999999998,-0.41618129307861323,6
2026-09-11,3MINDIA,33,1,0.03869039116076241,0.07743821293115616,-0.518924,0.10628119999999998,-0.6752051978790283,6
2026-09-11,3MINDIA,35,-1,-0.038137813516679914,0.08641435205936432,0.18376708,0.1062812,0.027485880307006827,6
2026-09-11,3MINDIA,44,1,0.11937207103450159,0.09859772026538849,-0.18404722,0.10628120000000002,-0.3403284221374512,6
2026-09-11,3MINDIA,50,-1,-0.04885864350738761,0.07461048662662506,-0.2612114,0.10628119999999998,-0.41749259526367183,6
2026-09-11,3MINDIA,51,-1,-0.10356120884759028,0.07353586703538895,-0.35340786,0.10628119999999998,-0.5096890598022461,6
2026-09-11,3MINDIA,52,-1,-0.05685545121663833,0.07574260979890823,-0.44602156,0.1062812,-0.6023027568542481,6
2026-09-11,3MINDIA,53,-1,-0.0687470373522106,0.07588254660367966,-0.5542755,0.1062812,-0.7105567126953125,6
2026-09-11,3MINDIA,57,-1,-0.03654149746448109,0.10071154683828354,-0.1532793,0.1062812,-0.30956050450439454,6
2026-09-11,3MINDIA,58,1,0.032649964200820406,0.10061902552843094,0.29091835,0.1062812,0.13463715021972655,6
2026-09-11,3MINDIA,60,1,0.04649048714110778,0.10061902552843094,0.1989007,0.10628119999999998,0.042619499615478534,6
2026-09-11,3MINDIA,61,1,0.049522108465198375,0.14561735093593597,-0.42604804,0.10628119999999998,-0.5823292403900147,6
2026-09-11,3MINDIA,62,1,0.04686740726352956,0.16248637437820435,-0.16793609,0.1062812,-0.3242172866546631,6
2026-09-11,3MINDIA,63,1,0.049351095501791245,0.1472191959619522,-0.24420023,0.10628119999999998,-0.40048142964477534,6
2026-09-11,3MINDIA,64,1,0.04817716343677271,0.16725698113441467,0.1989603,0.10628119999999998,0.042679104260253925,6
2026-09-11,3MINDIA,66,-1,-0.03464574277195341,0.17557251453399658,0.30534267,0.1062812,0.14906147425537108,6
2026-09-11,ABB,5,1,0.031031812663196302,0.5494377613067627,1.6996384,0.1062812,1.5433571666992187,6
