day,symbol,bar,dir_pred,prob,raw,signed,fee,net,fold
2026-08-14,3MINDIA,48,0.03179510366427923,0.7506298114765972,-1.2342274,-1.2342274,0.1062812,-1.340508618899536,2
2026-08-14,AIAENG,3,0.04284609604061284,0.7527188164771805,1.8170118,1.8170118,0.1062812,1.710730633190918,2
2026-08-14,ALKEM,62,0.030713588948055905,0.7922287736877767,0.8199811,0.8199811,0.10628119999999998,0.7136998981750489,2
2026-08-14,ALKEM,63,0.04158954716610864,0.7890518154641315,0.71361065,0.71361065,0.1062812,0.6073294491088868,2
2026-08-14,ALKEM,64,0.07347511611939928,0.7759294559416368,-0.056308508,-0.056308508,0.1062812,-0.16258970791931154,2
2026-08-14,ALKEM,65,0.06423264013183064,0.7698782100526529,-0.11255145,-0.11255145,0.10628119999999998,-0.21883265072937008,2
2026-08-14,ALKEM,66,0.08009751008817981,0.7771237709369224,-0.5044818,-0.5044818,0.1062812,-0.6107629924499511,2
2026-08-14,ALKEM,67,0.061242106324895844,0.7841586204214652,1.6508102,1.6508102,0.1062812,1.5445290416992188,2
2026-08-14,APOLLOHOSP,3,0.04954899081404624,0.772423088281527,0.9249687,0.9249687,0.1062812,0.8186875194824219,2
2026-08-14,AUROPHARMA,6,0.04967353040183179,0.7868289952032332,0.825119,0.825119,0.1062812,0.7188378185546875,2
2026-08-14,AUROPHARMA,7,0.06743927191091625,0.7723396670755188,0.57821274,0.57821274,0.10628119999999998,0.4719315380371094,2
2026-08-14,AUROPHARMA,8,0.04508847148340128,0.7659266862139648,0.5219579,0.5219579,0.1062812,0.4156766742980957,2
2026-08-14,BDL,59,0.03198822568672189,0.7682786443777182,1.7616034,1.7616034,0.1062812,1.6553221554077149,2
2026-08-14,BDL,60,0.04047019688758977,0.7739075320566237,0.172472,0.172472,0.10628119999999998,0.06619080012207033,2
2026-08-14,BDL,64,0.06038190172592846,0.7879031771735657,-0.22125244,-0.22125244,0.10628119999999998,-0.32753364140624996,2
2026-08-14,BDL,65,0.05267182211931172,0.8168732518916783,-1.1595011,-1.1595011,0.10628119999999998,-1.2657822757446289,2
2026-08-14,BDL,66,0.08143117948796069,0.7791598907113443,-0.8158922,-0.8158922,0.10628119999999998,-0.922173419543457,2
2026-08-14,BHEL,4,0.0373454327981011,0.7552137897369385,-0.10640621,-0.10640621,0.1062812,-0.21268741185302736,2
2026-08-14,FLUOROCHEM,6,0.03768906025377255,0.7595159964242483,0.68376064,0.68376064,0.1062812,0.5774794430053711,2
2026-08-14,FLUOROCHEM,7,0.04421772305044013,0.7520447255515947,0.624907,0.624907,0.10628119999999998,0.5186258167541504,2
2026-08-14,HINDZINC,3,0.07933379294995088,0.7608327754049984,0.66154003,0.66154003,0.1062812,0.5552588314331055,2
2026-08-14,IDEA,18,0.06008575451693586,0.7500499181290071,0.0,0.0,0.1062812,-0.1062812,2
2026-08-14,IPCALAB,3,0.07725509414791153,0.7514484028697768,-0.7241428,-0.7241428,0.10628119999999998,-0.8304239898406982,2
2026-08-14,IPCALAB,6,0.06654821303574551,0.7589250999232855,0.23481846,0.23481846,0.1062812,0.1285372585571289,2
2026-08-14,JUBLFOOD,4,0.03739701363452246,0.7624414239408365,-0.63526034,-0.63526034,0.10628119999999998,-0.7415415435516357,2
2026-08-14,JUBLFOOD,7,0.042505000268688746,0.7643558566144582,0.088477135,0.088477135,0.10628119999999998,-0.017804065295410135,2
2026-08-14,JUBLFOOD,8,0.041035420899795096,0.7882229492437659,-0.11762977,-0.11762977,0.1062812,-0.22391096646423342,2
2026-08-14,MAXHEALTH,3,0.07875266502167513,0.7501276648871182,0.38075447,0.38075447,0.1062812,0.2744732708251953,2
2026-08-14,MAXHEALTH,8,0.0438321004597808,0.7695252106836251,0.21994114,0.21994114,0.10628120000000002,0.11365993922119139,2
2026-08-14,MFSL,5,0.0690746825945741,0.7713078753957836,-0.11083484,-0.11083484,0.10628119999999998,-0.21711603695983883,2
2026-08-14,SAIL,15,-0.044406841442506825,0.7866568639563146,3.2356024,-3.2356024,0.1062812,-3.341883578845215,2
2026-08-14,SAIL,18,0.056925305904910975,0.7943477611137726,2.1529675,2.1529675,0.1062812,2.0466862530029295,2
2026-08-14,SAIL,20,0.07529739102461798,0.7735382293777994,0.9697676,0.9697676,0.10628119999999998,0.8634863704956055,2
2026-08-14,SAIL,21,0.06255065183136495,0.7813456465101096,0.5468726,0.5468726,0.1062812,0.44059141581420896,2
2026-08-14,SAIL,22,0.05936161307150068,0.7822749613482214,0.63055754,0.63055754,0.1062812,0.5242763370788575,2
2026-08-14,SOLARINDS,6,0.06824433273997363,0.7847588824995381,0.02015829,0.02015829,0.1062812,-0.0861229091369629,2
2026-08-14,SOLARINDS,7,0.06735272019359927,0.8026975355825058,-0.45728683,-0.45728683,0.1062812,-0.5635680347167968,2
2026-08-14,SOLARINDS,8,0.04882983049356143,0.7766319235199234,-0.74029565,-0.74029565,0.10628119999999998,-0.8465768485748291,2
2026-08-14,TIINDIA,67,0.03728899199291735,0.7745573202464618,-0.6758511,-0.6758511,0.1062812,-0.7821323066436767,2
2026-08-17,AJANTPHARM,3,0.03448909956940333,0.7697640803022755,-0.14278293,-0.14278293,0.1062812,-0.24906412655944826,2
2026-08-17,ALKEM,5,0.05966591813194716,0.7680234972551351,-0.06445646,-0.06445646,0.10628119999999998,-0.1707376628601074,2
2026-08-17,ALKEM,6,0.030859025188316534,0.7604412662701464,-0.38546324,-0.38546324,0.10628119999999998,-0.49174443776245114,2
2026-08-17,ALKEM,7,0.0415755443988755,0.7729789906146585,-0.6495297,-0.6495297,0.1062812,-0.7558108955108642,2
2026-08-17,APARINDS,4,0.07773058782687894,0.7654203387513844,-0.31898618,-0.31898618,0.1062812,-0.42526737744445803,2
2026-08-17,APARINDS,5,0.060049216313230964,0.7703039063688581,-0.7073939,-0.7073939,0.10628119999999998,-0.8136750846588134,2
2026-08-17,COCHINSHIP,5,0.04960191665434641,0.7694281754074087,-0.9284973,-0.9284973,0.10628119999999998,-1.034778514453125,2
2026-08-17,COCHINSHIP,12,0.048947189290978174,0.7524270475345353,0.69776773,0.69776773,0.1062812,0.5914865345275879,2
2026-08-17,COCHINSHIP,13,0.050000427524306806,0.7582822655831126,0.17018318,0.17018318,0.10628119999999998,0.06390198176269533,2
2026-08-17,ETERNAL,4,0.06488530295881531,0.751016560136698,0.520432,0.520432,0.1062812,0.4141507953918457,2
